     Time_Now  Buffer_Level 
       2.1966             0
       2.1966             2
      2.47016       1.72644
      2.47016       3.72644
      2.65921       3.53739
      2.65921       5.53739
      2.84299       5.35361
      2.84299       7.35361
      2.94326       7.25334
      2.94326       9.25334
      3.04323       9.15337
      3.04323       11.1534
      3.14117       11.0554
      3.14117       13.0554
      3.23718       12.9594
      3.23718       14.9594
       3.3348       14.8618
       3.3348       16.8618
      3.43116       16.7654
      3.43116       18.7654
      3.52818       18.6684
      3.52818       20.6684
      3.62459        20.572
      3.62459        22.572
      3.72053       22.4761
      3.72053       24.4761
      3.81467       24.3819
      3.81467       26.3819
      3.90971       26.2869
      3.90971       28.2869
      4.00756        28.189
      4.00756        30.189
      4.10508       30.0915
      4.10508       32.0915
      4.20385       31.9927
      4.20385       33.9927
      4.30377       33.8928
      4.30377       35.8928
      4.40355        35.793
      4.40355        37.793
      14.0168       28.1798
      14.0168       30.1798
      14.1413       30.0553
      14.1413       32.0553
      16.6234       29.5732
      16.6234       31.5732
       17.674       30.5226
       17.674       32.5226
      20.5588       29.6378
      20.5588       31.6378
      24.0661       28.1305
      24.0661       30.1305
      24.2047       29.9919
      24.2047       31.9919
      26.5737       29.6229
      26.5737       31.6229
      29.8138       28.3828
      29.8138       30.3828
      30.6895       29.5071
      30.6895       31.5071
      33.1151       29.0815
      33.1151       31.0815
      33.8342       30.3624
      33.8342       32.3624
      35.0092       31.1874
      35.0092       33.1874
      37.8141       30.3825
      37.8141       32.3825
      41.4612       28.7354
      41.4612       30.7354
      41.5901       30.6065
      41.5901       32.6065
      45.1545       29.0421
      45.1545       31.0421
      47.9471       28.2495
      47.9471       30.2495
      50.2857       27.9109
      50.2857       29.9109
      50.4621       29.7345
      50.4621       31.7345
      51.3914       30.8052
      51.3914       32.8052
       54.803       29.3936
       54.803       31.3936
      55.7037       30.4929
      55.7037       32.4929
      57.4377       30.7589
      57.4377       32.7589
      61.9489       28.2477
      61.9489       30.2477
      63.4868       28.7098
      63.4868       30.7098
      64.4953       29.7013
      64.4953       31.7013
      67.4537       28.7429
      67.4537       30.7429
      70.1327       28.0639
      70.1327       30.0639
      72.3425       27.8541
      72.3425       29.8541
      73.2328       28.9638
      73.2328       30.9638
      74.4217       29.7749
      74.4217       31.7749
      75.8444       30.3522
      75.8444       32.3522
      78.7585       29.4381
      78.7585       31.4381
      82.6989       27.4977
      82.6989       29.4977
      84.8063       27.3903
      84.8063       29.3903
      86.5785       27.6181
      86.5785       29.6181
      88.8287       27.3679
      88.8287       29.3679
      91.2531       26.9435
      91.2531       28.9435
      92.3662       27.8304
      92.3662       29.8304
      93.5001       28.6965
      93.5001       30.6965
        96.23       27.9666
        96.23       29.9666
      96.9942       29.2024
      96.9942       31.2024
      98.3845       29.8121
      98.3845       31.8121
       102.72       27.4768
       102.72       29.4768
      103.944       28.2526
      103.944       30.2526
      104.439       29.7577
      104.439       31.7577
      106.894       29.3027
      106.894       31.3027
      108.614       29.5823
      108.614       31.5823
      110.552        29.645
      110.552        31.645
      113.726        28.471
      113.726        30.471
      115.983        28.214
      115.983        30.214
      118.254       27.9422
      118.254       29.9422
      120.592       27.6043
      120.592       29.6043
      120.686       29.5102
      120.686       31.5102
      123.534       28.6625
      123.534       30.6625
      125.485       28.7111
      125.485       30.7111
      126.607       29.5896
      126.607       31.5896
      128.356        29.841
      128.356        31.841
      129.827       30.3701
      129.827       32.3701
      131.549       30.6473
      131.549       32.6473
      136.547       27.6499
      136.547       29.6499
      137.455       28.7415
      137.455       30.7415
      138.272       29.9241
      138.272       31.9241
      142.191       28.0056
      142.191       30.0056
      142.745       29.4511
      142.745       31.4511
      145.044       29.1529
      145.044       31.1529
      148.283       27.9132
      148.283       29.9132
      150.391       27.8053
