     Time_Now  Buffer_Level 
      2.19651             0
      2.19651             2
      2.92355       1.27296
      2.92355       3.27296
      3.21362       2.98289
      3.21362       4.98289
      3.42057       4.77594
      3.42057       6.77594
      3.56316       6.63335
      3.56316       8.63335
      3.70009       8.49642
      3.70009       10.4964
      3.82959       10.3669
      3.82959       12.3669
        3.973       12.2235
        3.973       14.2235
      4.13832       14.0582
      4.13832       16.0582
       4.2951       15.9014
       4.2951       17.9014
      4.45272       17.7438
      4.45272       19.7438
       4.6074       19.5891
       4.6074       21.5891
      4.82219       21.3743
      4.82219       23.3743
      5.41503       22.7815
      5.41503       24.7815
      6.42513       23.7714
      6.42513       25.7714
       7.8233       24.3732
       7.8233       26.3732
       9.3761       24.8204
       9.3761       26.8204
      11.0527       25.1438
      11.0527       27.1438
      12.8877       25.3088
      12.8877       27.3088
       14.652       25.5445
       14.652       27.5445
       16.555       25.6415
       16.555       27.6415
       18.452       25.7445
       18.452       27.7445
      20.2177       25.9788
      20.2177       27.9788
      21.9737       26.2228
      21.9737       28.2228
       23.657       26.5395
       23.657       28.5395
      25.3281       26.8685
      25.3281       28.8685
       27.157       27.0395
       27.157       29.0395
      28.9231       27.2734
      28.9231       29.2734
      30.6948       27.5017
      30.6948       29.5017
      32.6063       27.5902
      32.6063       29.5902
      34.4625        27.734
      34.4625        29.734
      36.3226       27.8739
      36.3226       29.8739
      38.1768       28.0197
      38.1768       30.0197
      39.9274       28.2691
      39.9274       30.2691
      41.7048       28.4918
      41.7048       30.4918
      43.6185        28.578
      43.6185        30.578
      45.5529       28.6436
      45.5529       30.6436
      47.4223       28.7742
      47.4223       30.7742
        49.29       28.9065
        49.29       30.9065
      51.1338       29.0627
      51.1338       31.0627
      52.9713       29.2252
      52.9713       31.2252
      54.7734       29.4231
      54.7734       31.4231
      56.7703       29.4262
      56.7703       31.4262
      58.7202       29.4763
      58.7202       31.4763
      60.6491       29.5474
      60.6491       31.5474
      62.6214       29.5751
      62.6214       31.5751
      65.3802       28.8163
      65.3802       30.8163
        68.07       28.1265
        68.07       30.1265
      70.7407       27.4558
      70.7407       29.4558
      73.1394       27.0572
      73.1394       29.0572
      75.4806       26.7159
      75.4806       28.7159
      77.5904       26.6061
      77.5904       28.6061
      79.8245       26.3721
      79.8245       28.3721
      81.8656       26.3309
      81.8656       28.3309
      83.7646       26.4319
      83.7646       28.4319
      85.7549       26.4416
      85.7549       28.4416
      87.5581       26.6384
      87.5581       28.6384
      89.3304       26.8661
      89.3304       28.8661
      91.0498       27.1467
      91.0498       29.1467
      92.6571       27.5395
      92.6571       29.5395
