     Time_Now  Buffer_Level 
      2.19651             0
      2.19651             2
      2.46971        1.7268
      2.46971        3.7268
       2.6579       3.53861
       2.6579       5.53861
      2.84173       5.35478
      2.84173       7.35478
      2.93768       7.25882
      2.93768       9.25882
       3.0335       9.16301
       3.0335        11.163
      3.12821       11.0683
      3.12821       13.0683
      3.22207       12.9744
      3.22207       14.9744
      3.31681       14.8797
      3.31681       16.8797
        3.411       16.7855
        3.411       18.7855
       3.5052       18.6913
       3.5052       20.6913
        3.602       20.5945
        3.602       22.5945
      3.69958       22.4969
      3.69958       24.4969
      3.79489       24.4016
      3.79489       26.4016
      3.89086       26.3056
      3.89086       28.3056
      3.98902       28.2075
      3.98902       30.2075
        4.088       30.1085
        4.088       32.1085
      4.18733       32.0092
      4.18733       34.0092
      4.28803       33.9085
      4.28803       35.9085
      4.38801       35.8085
      4.38801       37.8085
      4.48905       37.7075
      4.48905       39.7075
      4.59858       39.5979
      4.59858       41.5979
      8.30319       37.8933
      8.30319       39.8933
      8.40636       39.7902
      8.40636       41.7902
      8.52448        41.672
      8.52448        43.672
      10.6467       41.5498
      10.6467       43.5498
       12.762       41.4346
       12.762       43.4346
      14.8792       41.3173
      14.8792       43.3173
      15.0166       43.1799
      15.0166       45.1799
      17.1531       43.0434
      17.1531       45.0434
      19.2765         42.92
      19.2765         44.92
        19.45       44.7465
        19.45       46.7465
      21.6382       44.5584
      21.6382       46.5584
      23.7878       44.4087
      23.7878       46.4087
      24.0894       46.1071
      24.0894       48.1071
      26.7428       45.4537
      26.7428       47.4537
      29.4931       44.7034
      29.4931       46.7034
      32.0738       44.1228
      32.0738       46.1228
      34.6511       43.5454
      34.6511       45.5454
      37.2338       42.9627
      37.2338       44.9627
      39.9145        42.282
      39.9145        44.282
      42.5804       41.6161
      42.5804       43.6161
      45.3176       40.8789
      45.3176       42.8789
      47.9677       40.2288
      47.9677       42.2288
       50.359       39.8375
       50.359       41.8375
      52.9052       39.2913
      52.9052       41.2913
       55.484       38.7126
       55.484       40.7126
      58.0467       38.1498
      58.0467       40.1498
       60.715       37.4815
       60.715       39.4815
      63.2741       36.9224
      63.2741       38.9224
      65.6475        36.549
      65.6475        38.549
      67.8354       36.3611
      67.8354       38.3611
      70.6951       35.5014
      70.6951       37.5014
      74.2727       33.9238
      74.2727       35.9238
      77.4604       32.7361
      77.4604       34.7361
      81.0497       31.1468
      81.0497       33.1468
      84.4394       29.7571
      84.4394       31.7571
      87.5018       28.6947
      87.5018       30.6947
      89.2269       28.9696
      89.2269       30.9696
      90.6978       29.4987
      90.6978       31.4987
      93.1343       29.0622
