     Time_Now  Buffer_Level 
      2.22605             0
      2.22605             2
      2.51995        1.7061
      2.51995        3.7061
      2.70836       3.51768
      2.70836       5.51768
      2.81442       5.41163
      2.81442       7.41163
      2.91447       7.31157
      2.91447       9.31157
      3.01435        9.2117
      3.01435       11.2117
      3.11215       11.1139
      3.11215       13.1139
      3.20818       13.0179
      3.20818       15.0179
      3.30551       14.9205
      3.30551       16.9205
      3.40174       16.8243
      3.40174       18.8243
      3.49889       18.7272
      3.49889       20.7272
      3.59491       20.6311
      3.59491       22.6311
      3.69098       22.5351
      3.69098       24.5351
       3.7854       24.4406
       3.7854       26.4406
      3.88017       26.3459
      3.88017       28.3459
      3.97806        28.248
      3.97806        30.248
      4.07566       30.1504
      4.07566       32.1504
      4.17462       32.0514
      4.17462       34.0514
      4.27486       33.9512
      4.27486       35.9512
      4.37455       35.8515
      4.37455       37.8515
      14.0462       28.1798
      14.0462       30.1798
      14.1712       30.0548
      14.1712       32.0548
       16.653        29.573
       16.653        31.573
      17.7037       30.5224
      17.7037       32.5224
      20.5883       29.6377
      20.5883       31.6377
      24.0959       28.1302
      24.0959       30.1302
      24.2347       29.9914
      24.2347       31.9914
      26.6035       29.6225
      26.6035       31.6225
      29.8436       28.3825
      29.8436       30.3825
      30.7192       29.5069
      30.7192       31.5069
      33.1449       29.0812
      33.1449       31.0812
      33.8635       30.3626
      33.8635       32.3626
      35.0453       31.1807
      35.0453       33.1808
      37.8441        30.382
      37.8441        32.382
      41.4912       28.7349
      41.4912       30.7349
      41.6205       30.6056
      41.6205       32.6056
      45.1845       29.0415
      45.1845       31.0415
      47.9768       28.2492
      47.9768       30.2492
      50.3214       27.9047
      50.3214       29.9047
      50.5039       29.7221
      50.5039       31.7221
      51.4279       30.7981
      51.4279       32.7981
      54.8391        29.387
      54.8391        31.387
      55.7401       30.4859
      55.7401       32.4859
      57.4742       30.7518
      57.4742       32.7518
      61.9856       28.2404
      61.9856       30.2404
      63.4689       28.7571
      63.4689       30.7571
      63.7996       30.4265
      63.7996       32.4265
      66.8484       29.3777
      66.8484       31.3777
      69.4026       28.8235
      69.4026       30.8235
      71.8219       28.4042
      71.8219       30.4042
      73.1459       29.0801
      73.1459       31.0801
      74.4669       29.7592
      74.4669       31.7592
       75.535        30.691
       75.535        32.691
      78.1215       30.1045
      78.1215       32.1045
       82.563        27.663
       82.563        29.663
         84.4       27.8261
         84.4       29.8261
      86.1057       28.1204
      86.1057       30.1204
      88.9847       27.2414
      88.9847       29.2414
      91.5254       26.7006
      91.5254       28.7006
      92.4843       27.7418
      92.4843       29.7418
      93.8631        28.363
      93.8631        30.363
      96.5419       27.6842
      96.5419       29.6842
      97.5103       28.7158
      97.5103       30.7158
      98.5623       29.6638
      98.5623       31.6638
      103.003       27.2233
      103.003       29.2233
      104.195       28.0313
      104.195       30.0313
      104.906       29.3197
      104.906       31.3197
      106.978       29.2482
      106.978       31.2482
      108.706       29.5205
      108.706       31.5205
       110.85       29.3765
       110.85       31.3765
      114.177       28.0487
      114.177       30.0487
      116.267       27.9593
      116.267       29.9593
      118.578       27.6478
      118.578       29.6478
       120.39       27.8364
       120.39       29.8364
