     Time_Now  Buffer_Level 
      2.22605             0
      2.22605             2
      2.86801       1.35803
      2.86801       3.35803
      3.10423       3.12182
      3.10423       5.12182
      3.36641       4.85963
      3.36641       6.85963
      3.58633       6.63971
      3.58633       8.63971
      3.79258       8.43346
      3.79258       10.4335
      3.96547       10.2606
      3.96547       12.2606
      4.11478       12.1113
      4.11478       14.1113
      4.28381       13.9422
      4.28381       15.9422
       4.4425       15.7835
       4.4425       17.7836
       4.6041       17.6219
       4.6041       19.6219
       4.7611       19.4649
       4.7611       21.4649
       4.9123       21.3137
       4.9123       23.3137
       5.0394       23.1866
       5.0394       25.1866
      5.30203        24.924
      5.30203        26.924
      5.97863       26.2474
      5.97863       28.2474
      7.01882       27.2072
      7.01882       29.2072
      8.24053       27.9855
      8.24053       29.9855
      9.84195       28.3841
      9.84195       30.3841
      11.5791        28.647
      11.5791        30.647
      13.2835       28.9426
      13.2835       30.9426
      15.1905       29.0355
      15.1905       31.0355
      17.0999       29.1262
      17.0999       31.1262
      19.9488       28.2772
      19.9488       30.2772
       22.782        27.444
       22.782        29.444
      25.5607       26.6653
      25.5607       28.6653
      28.0323       26.1938
      28.0323       28.1938
      30.2211        26.005
      30.2211        28.005
      32.1795       26.0466
      32.1795       28.0466
      34.0975       26.1285
      34.0975       28.1285
      35.9102       26.3158
      35.9102       28.3158
      37.7682       26.4578
      37.7682       28.4578
         39.6        26.626
         39.6        28.626
      41.2773       26.9487
      41.2773       28.9487
      43.0401       27.1859
      43.0401       29.1859
      44.6608       27.5653
      44.6608       29.5653
      46.3593       27.8668
      46.3593       29.8668
      48.1784       28.0476
      48.1784       30.0476
      49.9916       28.2344
      49.9916       30.2344
      51.7703       28.4557
      51.7703       30.4557
      53.7534       28.4727
      53.7534       30.4727
       55.683        28.543
       55.683        30.543
       57.594        28.632
       57.594        30.632
      59.4584       28.7676
      59.4584       30.7676
      61.2642       28.9618
      61.2642       30.9618
      63.1138       29.1123
      63.1138       31.1123
      64.9516       29.2744
      64.9516       31.2744
      66.7379       29.4881
      66.7379       31.4881
      68.7445       29.4816
      68.7445       31.4816
      70.6657       29.5603
      70.6657       31.5603
      72.5678       29.6582
      72.5678       31.6582
      74.4742       29.7518
      74.4742       31.7518
       77.501       28.7251
       77.501       30.7251
      80.5235       27.7025
      80.5235       29.7025
      82.9989       27.2272
      82.9989       29.2272
      85.6157       26.6103
      85.6157       28.6103
      87.7172       26.5089
      87.7172       28.5089
      89.8368       26.3892
      89.8368       28.3892
      91.6134       26.6126
      91.6134       28.6126
      93.2389       26.9872
      93.2389       28.9872
      95.3492       26.8768
      95.3492       28.8768
      97.3522       26.8739
      97.3522       28.8739
       98.874       27.3521
       98.874       29.3521
      100.661       27.5653
      100.661       29.5653
      102.566       27.6604
      102.566       29.6604
      104.388       27.8381
      104.388       29.8381
      106.267       27.9588
      106.267       29.9588
      108.084       28.1419
      108.084       30.1419
      109.957       28.2687
      109.957       30.2687
       112.28       27.9457
       112.28       29.9457
      114.412       27.8138
      114.412       29.8138
      116.196       28.0298
      116.196       30.0298
      118.176       28.0503
      118.176       30.0503
      119.713       28.5135
      119.713       30.5135
      121.572       28.6545
