     Time_Now  Buffer_Level 
      2.22586             0
      2.22586             2
      2.51872       1.70713
      2.51872       3.70713
      2.70444       3.52142
      2.70444       5.52142
      2.80223       5.42363
      2.80223       7.42363
      2.89817       7.32769
      2.89817       9.32769
      2.99348       9.23237
      2.99348       11.2324
      3.08867       11.1372
      3.08867       13.1372
       3.1829        13.043
       3.1829        15.043
      3.27721       14.9486
      3.27721       16.9486
      3.37072       16.8551
      3.37072       18.8551
      3.46731       18.7585
      3.46731       20.7585
      3.56303       20.6628
      3.56303       22.6628
      3.65858       22.5673
      3.65858       24.5673
      3.75279       24.4731
      3.75279       26.4731
      3.84756       26.3783
      3.84756       28.3783
      3.94469       28.2812
      3.94469       30.2812
      4.04182        30.184
      4.04182        32.184
       4.1408       32.0851
       4.1408       34.0851
      4.24279       33.9831
      4.24279       35.9831
      4.34153       35.8843
      4.34153       37.8843
      4.44263       37.7832
      4.44263       39.7832
      4.54935       39.6765
      4.54935       41.6765
      8.34637       37.8795
      8.34637       39.8795
      10.4659         37.76
      10.4659         39.76
      12.5836       37.6423
      12.5836       39.6423
      14.6976       37.5282
      14.6976       39.5282
      14.8092       39.4166
      14.8092       41.4166
      15.0078        41.218
      15.0078        43.218
      17.1933       41.0326
      17.1933       43.0326
      19.3793       40.8466
      19.3793       42.8466
       19.588       42.6379
       19.588       44.6379
      21.8184       42.4075
      21.8184       44.4075
      24.1066       42.1193
      24.1066       44.1193
      26.3095       41.9163
      26.3095       43.9163
      28.5335       41.6924
      28.5335       43.6924
       30.663       41.5629
       30.663       43.5629
      30.9645       43.2613
      30.9645       45.2613
      33.1954       43.0304
      33.1954       45.0304
        35.42       42.8059
        35.42       44.8059
      37.6519        42.574
      37.6519        44.574
      39.9438       42.2821
      39.9438       44.2821
      42.2487       41.9771
      42.2487       43.9771
      44.5706       41.6553
      44.5706       43.6553
      46.8702       41.3557
      46.8702       43.3557
      49.0771       41.1488
      49.0771       43.1488
      51.3028       40.9231
      51.3028       42.9231
      53.6004       40.6255
      53.6004       42.6255
      55.8904       40.3354
      55.8904       42.3354
      58.2218       40.0041
      58.2218       42.0041
      60.5184       39.7074
      60.5184       41.7074
      62.7282       39.4977
      62.7282       41.4977
      64.8376       39.3882
      64.8376       41.3882
       67.254       38.9718
       67.254       40.9718
      70.0241       38.2018
      70.0241       40.2018
      72.6513       37.5746
      72.6513       39.5746
      75.4707       36.7552
      75.4707       38.7552
       78.229       35.9969
       78.229       37.9969
      80.9679       35.2579
      80.9679       37.2579
      83.5649       34.6609
      83.5649       36.6609
      85.8864       34.3395
      85.8864       36.3395
      88.4639        33.762
